Object,TripoSR Vertices,TripoSR Faces,TripoSR SurfaceArea,TripoSR FileSize_KB,ShapE Vertices,ShapE Faces,ShapE SurfaceArea,ShapE FileSize_KB,Chamfer Distance (TripoSR vs ShapE),TripoSR PSNR,TripoSR SSIM,ShapE PSNR,ShapE SSIM
airplane,20270,40446,0.6666179369772866,791.69140625,43976,87956,7.086494285065434,6793.38671875,1.3386189937591553,11.602159728790301,0.7423321469893525,6.006087760741947,0.5175118784315167
bicycle,29702,59306,0.9985346839217242,1160.0859375,10770,21408,2.0177457459468418,1631.8310546875,1.2261853218078613,11.817049468656307,0.7498437867186077,10.780377165530627,0.7458959930697399
bottle,28454,56836,1.0228155236627043,1111.640625,90586,181172,17.007603306386045,14052.681640625,1.3343778848648071,14.323096980611574,0.8049119428154866,6.024805296509604,0.5781662084485446
bowl,83863,167438,2.6524607811148266,3273.5234375,126548,253180,25.819745543269196,20157.818359375,1.7422990798950195,7.846081174499127,0.6449227050723241,2.8853267088228405,0.2450749854104013
camera,52513,104847,1.7178366969651762,2050.19140625,131884,263720,25.77035096448072,20885.140625,1.9119856357574463,5.9044012525965694,0.38628260026630395,3.5179191187893375,0.11907516919175659
car,29758,59364,1.0538595623191276,1161.640625,237425,474920,47.555239733458734,38483.8916015625,1.9881277084350586,8.089677436416547,0.596598634370297,2.288961150413671,0.12432374167161131
chess,61548,122915,1.9735685434913854,2403.09765625,254730,509656,45.80790770665668,40890.1005859375,1.7965737581253052,5.749821799688564,0.2327288106631423,4.864035725249242,0.07098412918811722
cup,91687,183022,2.977057800380861,3578.40234375,146936,293896,26.689025761250395,23365.5126953125,1.5629572868347168,6.068791212491448,0.4954114794152179,3.6846139433022658,0.20074972045200956
flower,41683,83256,1.3752090611600163,1627.95703125,23926,47840,4.011874898581199,3635.0947265625,1.7190449237823486,8.827851043859859,0.7379615534774173,8.251789490816357,0.641443157544357
fork,12328,24632,0.4242447143240911,482.28125,11012,22020,1.872124793696527,1653.9873046875,1.4063165187835693,14.099562886820323,0.8171751791006023,10.727214837505466,0.7508618709103522
glasses,12877,25708,0.395302734628166,503.4609375,26386,52792,5.705116843041054,4021.5576171875,2.139822244644165,13.188984302691091,0.7556518773900668,9.030895770089863,0.6844157100806026
guitar,17568,35072,0.5672535108564183,686.49609375,30640,61292,5.3674295797777605,4791.423828125,1.2921555042266846,10.597218669838437,0.7654174800761135,7.424984618002095,0.6325556093401874
hammer,9378,18700,0.30736836045477167,366.6640625,16782,33560,2.6204979805913604,2571.490234375,1.6189295053482056,12.240642900464827,0.821099931539276,9.121624928960244,0.7269771963941791
headphones,59628,119064,1.8559887629650698,2327.96875,50772,101540,8.418656898856481,7957.2802734375,1.4943299293518066,8.093832304638585,0.6739126572248892,5.043949510798863,0.4652812316252385
helicopter,21707,43308,0.7106381844963616,847.68359375,63490,126788,10.658334322731449,9887.1875,1.4031505584716797,9.526891612416314,0.5420314059138267,5.388133965924441,0.3574687271014671
human,30487,60871,0.9793773289112438,1190.69140625,20534,41056,3.6037901341605565,3156.3759765625,1.5543454885482788,10.781393682568691,0.7218053618128835,9.402645494904313,0.6860980934788614
ironman,19630,39195,0.6320300015509963,767.03125,22170,44328,3.7940597578371604,3451.8134765625,1.8468644618988037,5.589536400382753,0.60357074634223,5.3955926495289095,0.5379504259474132
knife,7336,14644,0.27476330482791483,287.2265625,11554,23112,1.8499662587865344,1743.8408203125,1.0801706314086914,13.843073333376147,0.8672924581379595,11.216589753333743,0.8012173525312594
ladder,15512,30987,0.5187526561151449,606.5,39100,78072,8.389357217580628,5984.9208984375,1.8785276412963867,14.114455856270867,0.7509190192993123,5.5127991536367675,0.4635067255243037
laptop,86625,172844,2.859552767319406,3380.03125,85940,171908,16.886000026553422,13613.2431640625,1.5102081298828125,8.259554870379965,0.6515231674369606,3.6136470764929323,0.353705613416779
leaf,24929,49756,0.7660818607496956,973.59375,65808,132068,10.543982928619624,10289.8564453125,1.4959486722946167,7.905051046464576,0.6342935141209427,3.9895922978637826,0.31277890914330286
monitor,44566,88959,1.7321952472137396,1739.8359375,67900,135800,11.905583659815862,10597.3974609375,1.5411782264709473,6.368786989895133,0.5033427728980024,4.631075256961712,0.33587397990716494
mouse,50556,100944,1.5485227173851595,1973.875,120246,240476,19.594147644785615,19083.3310546875,1.3260043859481812,7.041523536108024,0.5817625327343013,5.554940232104533,0.4067006348374228
penguin,61505,122811,1.9745373455499333,2401.20703125,96846,193684,16.309328320927637,15322.8232421875,1.2224199771881104,8.380215185932558,0.26334717874938546,5.395332968560742,0.13883675658937766
pikachu,52044,103957,1.7371542393078525,2032.43359375,57890,115884,9.91324719813049,9106.376953125,1.4569541215896606,10.150248244354975,0.6355696263560815,4.970349043184676,0.38901731528541855
robot,75773,151290,2.4902963475562334,2957.88671875,75556,151112,12.910277257760875,11713.892578125,1.3969247341156006,6.557827806725642,0.5043725929273013,6.1897278730563725,0.3593990670991085
rubiks cube,110803,221231,3.4300180335184565,4324.8515625,135560,271208,27.1957070219535,21792.025390625,1.4881577491760254,8.336112416007056,0.6352839688375971,3.1175258664764742,0.2165639715391836
scissors,19440,38815,0.6207979192377008,759.609375,20968,41916,3.2791898113491844,3239.892578125,1.4225223064422607,10.158791060758931,0.7100140429940276,8.246032885699098,0.6273786207361522
shoe,29471,58856,0.9167383106602084,1151.20703125,110842,221684,18.002418265491233,17141.546875,1.3685996532440186,13.850944860594776,0.7653072258955477,4.915525056092928,0.5037015215213726
star,27919,55728,0.9647317760766164,1090.296875,110270,220496,16.21826020305236,17146.4091796875,1.5094153881072998,10.525703701303419,0.7153821359363189,3.6945314706137276,0.3175845928167253
tree,217811,435463,7.006622465172874,8507.3828125,131938,266508,23.232567780340585,21182.328125,1.518021583557129,7.913864593434876,0.5098388193274511,5.313724691007834,0.33777453054563883
umbrella,47938,95739,1.545401573371105,1871.9765625,52200,104416,8.984780256337507,8112.5244140625,1.8384547233581543,9.169479190351215,0.7310447671301468,5.592770846917781,0.4898748041397788
watch,55481,110747,1.9000749267852968,2165.7109375,34882,69812,6.905773463451533,5452.3212890625,1.156013011932373,10.372071585016155,0.750421154682269,8.531008403794225,0.6271884189523652
